,measurement_start_time,probe_asn,probe_cc,input,domain,explorer_url,dns,false,http-failure,tcp_ip
0,2018-01-03 01:53:48,2715,BR,https://www.womenonwaves.org/,womenonwaves.org,https://explorer.ooni.io/measurement/20180103T005711Z_AS2715_zUyzXizRj8iLjmgfspSWZId8LNG1EXEssxFvFzHc0U4SlrPT1L?input=https%3A%2F%2Fwww.womenonwaves.org%2F,0.0,1.0,0.0,0.0
1,2018-01-03 01:53:51,2715,BR,https://www.womenonweb.org/,womenonweb.org,https://explorer.ooni.io/measurement/20180103T005711Z_AS2715_zUyzXizRj8iLjmgfspSWZId8LNG1EXEssxFvFzHc0U4SlrPT1L?input=https%3A%2F%2Fwww.womenonweb.org%2F,0.0,1.0,0.0,0.0
2,2018-01-03 02:30:14,28573,BR,https://www.womenonwaves.org/,womenonwaves.org,https://explorer.ooni.io/measurement/20180103T010456Z_AS28573_1qcfrckrNJ6j3fcGyrsMnngVHjtVknI6cPPKSJbKifWjeHvhiU?input=https%3A%2F%2Fwww.womenonwaves.org%2F,0.0,0.0,0.0,1.0
3,2018-01-03 02:30:16,28573,BR,https://www.womenonweb.org/,womenonweb.org,https://explorer.ooni.io/measurement/20180103T010456Z_AS28573_1qcfrckrNJ6j3fcGyrsMnngVHjtVknI6cPPKSJbKifWjeHvhiU?input=https%3A%2F%2Fwww.womenonweb.org%2F,0.0,1.0,0.0,0.0
4,2018-01-03 06:16:35,27699,BR,https://www.womenonwaves.org/,womenonwaves.org,https://explorer.ooni.io/measurement/20180103T052138Z_AS27699_8fnUe56HEZdyy68DvMHERiOAdE48H4EbGl9fdReHydyFCszTct?input=https%3A%2F%2Fwww.womenonwaves.org%2F,1.0,0.0,0.0,0.0
5,2018-01-03 06:16:38,27699,BR,https://www.womenonweb.org/,womenonweb.org,https://explorer.ooni.io/measurement/20180103T052138Z_AS27699_8fnUe56HEZdyy68DvMHERiOAdE48H4EbGl9fdReHydyFCszTct?input=https%3A%2F%2Fwww.womenonweb.org%2F,0.0,1.0,0.0,0.0
6,2018-01-03 11:37:00,28573,BR,https://www.womenonwaves.org/,womenonwaves.org,https://explorer.ooni.io/measurement/20180103T092350Z_AS28573_GPgIJ2GT4JM9sfmrzzHUtNEfaPrHXEPTAs4PqyidSLBTLuBcpF?input=https%3A%2F%2Fwww.womenonwaves.org%2F,0.0,0.0,0.0,1.0
7,2018-01-03 11:37:00,28573,BR,https://www.womenonweb.org/,womenonweb.org,https://explorer.ooni.io/measurement/20180103T092350Z_AS28573_GPgIJ2GT4JM9sfmrzzHUtNEfaPrHXEPTAs4PqyidSLBTLuBcpF?input=https%3A%2F%2Fwww.womenonweb.org%2F,0.0,1.0,0.0,0.0
8,2018-01-04 02:22:42,28573,BR,https://www.womenonwaves.org/,womenonwaves.org,https://explorer.ooni.io/measurement/20180104T010446Z_AS28573_gvwL1M5XOH7XIUrgBkm7hSC4ugdNMqNlOMW28TsGHxmDSuVYXJ?input=https%3A%2F%2Fwww.womenonwaves.org%2F,0.0,0.0,0.0,1.0
9,2018-01-04 02:22:44,28573,BR,https://www.womenonweb.org/,womenonweb.org,https://explorer.ooni.io/measurement/20180104T010446Z_AS28573_gvwL1M5XOH7XIUrgBkm7hSC4ugdNMqNlOMW28TsGHxmDSuVYXJ?input=https%3A%2F%2Fwww.womenonweb.org%2F,0.0,1.0,0.0,0.0
10,2018-01-04 03:01:38,2715,BR,https://www.womenonwaves.org/,womenonwaves.org,https://explorer.ooni.io/measurement/20180104T005630Z_AS2715_CV3MbrFPFctQ2DPpCjqHGVcxw8hq5oG9PxBStkxEMjrLA10LEr?input=https%3A%2F%2Fwww.womenonwaves.org%2F,0.0,1.0,0.0,0.0
11,2018-01-04 03:01:39,2715,BR,https://www.womenonweb.org/,womenonweb.org,https://explorer.ooni.io/measurement/20180104T005630Z_AS2715_CV3MbrFPFctQ2DPpCjqHGVcxw8hq5oG9PxBStkxEMjrLA10LEr?input=https%3A%2F%2Fwww.womenonweb.org%2F,0.0,1.0,0.0,0.0
